host_id,host_name,total_properties
346367515,Ukio,437
357946540,Enter,365
1447144,Acomodis Apartments,233
32037490,SweetInn,195
4459553,AB Apartment Barcelona,191
299462,Stay U-Nique,155
265193861,BeBarceloner,149
158023606,Habitat Apartments,141
36607755,Room Housing,136
447375626,Blueground,135
221480824,Alvaro,119
504121118,Arnau,102
9400556,Loca Bcn,81
47171261,Ezequiel,78
1391607,Alba,74
449485386,Joaquín,73
33278356,Ola,72
21726991,Silvia,72
518888520,Aticco Living,71
1503151,Laia,70
396363,Alcam Apartments,68
3556337,Alejandro,66
130223809,BeAndLiveHomes,65
557950791,Natalia,58
2320210,"Ale, Maria & Arthur",54
3775349,Caterina,54
2819397,Leslie Maria Ella And Arthur,54
461820156,Selling,53
66296022,Suzy,52
579729039,Jose Alejo,50
10547296,Flateli,49
370718107,Alexandre,48
250042982,HiGuests,48
3376710,Maria StayBarcelona,45
1432835,Angel,45
388714704,Sonder (Barcelona),44
583414102,Aksana,43
64805231,Marc,42
434893527,My Space Capital,42
193874212,Borges,42
1310304,Luis,42
35936647,Casa Cosi,42
436641358,Artur,40
10380563,Tendency Apartments,40
438136382,Home Club,40
5614931,Fisa Rentals,39
1744516,Silvia & Luís,39
3039107,Manuel,38
157746231,Natalia,38
10693680,Ramón,38
439642628,My Space New,37
394270439,Laura,37
480528,Andrei,36
43565515,Homes In Blue,36
86551441,Maria Soledad,36
212431311,Quim,35
8130906,YouStylish,35
562920793,Mercantil Brescia,35
128959838,Jordi,35
2262273,Serket,34
3744544,Marta+Paul,34
271226374,Jamica,33
4212095,Elio / Wilken,33
39789054,MYCOlive - Mani,33
584187104,Kristina,32
1414702,Ferran,32
204662752,Tania & Gonzalo,32
454228487,Homenfun,30
5264883,Unique,30
139063900,Deco Apartments Barcelona,30
134698146,Luis,30
4396136,Homesearch,30
566729533,Enrique,29
9478280,Simona & Pia,29
10704,María,29
71615,Mireia  Maria,28
2439400,KeyBarcelona,28
253465692,Josep,27
1986299,Clickandflat,27
129000409,Olala Homes,26
6099660,ClassBedroom,26
336524176,Weflating,26
499531579,Concepcion,26
410060534,Adam,26
148946579,Barnapartments,25
238724735,BBarcelona Apartments,25
294265812,Fer,25
26521943,Alice,24
1920353,Central,24
5729069,Barcelona,23
