neighbourhood,neighbourhood_group,total_properties
la Dreta de l'Eixample,Eixample,2354
el Raval,Ciutat Vella,1555
el Barri Gòtic,Ciutat Vella,1264
"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,1216
la Sagrada Família,Eixample,1136
la Vila de Gràcia,Gràcia,1110
l'Antiga Esquerra de l'Eixample,Eixample,1101
Sant Antoni,Eixample,942
el Poble Sec,Sants-Montjuïc,888
la Nova Esquerra de l'Eixample,Eixample,817
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,535
el Fort Pienc,Eixample,524
la Barceloneta,Ciutat Vella,515
el Poblenou,Sant Martí,460
Sants,Sants-Montjuïc,370
el Camp d'en Grassot i Gràcia Nova,Gràcia,337
el Camp de l'Arpa del Clot,Sant Martí,316
les Corts,Les Corts,271
el Putxet i el Farró,Sarrià-Sant Gervasi,261
Hostafrancs,Sants-Montjuïc,234
Sants - Badal,Sants-Montjuïc,219
el Parc i la Llacuna del Poblenou,Sant Martí,202
Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,165
el Baix Guinardó,Horta-Guinardó,155
el Guinardó,Horta-Guinardó,154
el Clot,Sant Martí,136
el Besòs i el Maresme,Sant Martí,136
la Vila Olímpica del Poblenou,Sant Martí,135
la Font de la Guatlla,Sants-Montjuïc,119
Provençals del Poblenou,Sant Martí,117
el Carmel,Horta-Guinardó,103
Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,97
la Maternitat i Sant Ramon,Les Corts,96
Navas,Sant Andreu,93
Vallcarca i els Penitents,Gràcia,90
Sant Martí de Provençals,Sant Martí,87
Sant Andreu,Sant Andreu,84
la Bordeta,Sants-Montjuïc,82
la Salut,Gràcia,76
Sarrià,Sarrià-Sant Gervasi,73
la Sagrera,Sant Andreu,69
la Marina de Port,Sants-Montjuïc,66
Vilapicina i la Torre Llobeta,Nou Barris,62
les Tres Torres,Sarrià-Sant Gervasi,51
la Verneda i la Pau,Sant Martí,50
Can Baró,Horta-Guinardó,48
el Congrés i els Indians,Sant Andreu,48
"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,43
Porta,Nou Barris,38
el Coll,Gràcia,35
Pedralbes,Les Corts,35
la Prosperitat,Nou Barris,32
la Teixonera,Horta-Guinardó,30
les Roquetes,Nou Barris,25
Horta,Horta-Guinardó,25
el Turó de la Peira,Nou Barris,25
Montbau,Horta-Guinardó,16
Sant Genís dels Agudells,Horta-Guinardó,15
Verdun,Nou Barris,15
la Font d'en Fargues,Horta-Guinardó,14
la Trinitat Vella,Sant Andreu,12
la Guineueta,Nou Barris,12
la Marina del Prat Vermell,Sants-Montjuïc,12
la Vall d'Hebron,Horta-Guinardó,10
el Bon Pastor,Sant Andreu,8
la Trinitat Nova,Nou Barris,6
la Clota,Horta-Guinardó,5
Baró de Viver,Sant Andreu,3
Can Peguera,Nou Barris,2
Canyelles,Nou Barris,2
Torre Baró,Nou Barris,2
