id,host_id,availability_365,number_of_reviews_ltm
39404484,4258623,312,364.0
30759793,228209547,300,339.0
51201977,413277396,349,328.0
35118964,9171437,352,314.0
53411031,432139206,223,306.0
36054333,270258032,357,297.0
47043666,348675198,224,296.0
685348664485116872,472651894,320,284.0
43236801,208231129,110,281.0
5561974,26787977,55,274.0
1044179014454001905,398136693,42,274.0
33816957,2818497,245,274.0
54158916,438922378,222,272.0
691218241291542242,474317030,83,268.0
24193951,5878688,219,252.0
54158456,438922378,224,244.0
22488537,4064440,294,224.0
14006090,383697,66,219.0
53636634,434349852,180,219.0
18572961,93112619,226,215.0
43235590,6392414,149,210.0
39598491,266006958,334,210.0
32207394,231102415,108,209.0
31483996,170513081,349,205.0
531195,2608724,200,204.0
52047490,420938544,40,202.0
878658347316285621,511843467,251,201.0
862122500288513146,116807111,216,200.0
40553667,310644647,192,199.0
46366621,371891676,302,198.0
51273177,414023274,348,198.0
19958031,5878688,213,197.0
50972615,231456318,97,196.0
1110775765657684157,546777403,341,189.0
52627366,426018498,227,188.0
16592830,5878688,208,187.0
53840732,436123750,327,183.0
534550,2608724,172,180.0
53410760,432138762,206,178.0
40553596,310644647,215,175.0
886838723814651944,511484504,225,174.0
53236289,4064440,79,171.0
24343358,181287056,106,166.0
51661574,401354337,312,163.0
33764163,47171261,353,162.0
32561248,116807111,96,160.0
927418121223302860,523458215,43,160.0
39692277,302714385,353,158.0
53185946,220888840,37,158.0
52047182,420938544,33,156.0
11862028,63229593,154,155.0
961287943216806993,523458215,44,153.0
548990291668456542,442326369,220,153.0
4691491,383697,301,150.0
878064608312692150,511843467,249,149.0
30757752,228209547,301,149.0
31977850,237151305,218,149.0
803477361689343237,266006958,86,146.0
16449601,98330509,183,144.0
34274651,258164953,336,142.0
16116133,104876399,320,140.0
19799557,5878688,216,139.0
878759262826963543,511843467,249,139.0
28017958,211621305,0,139.0
51272687,413277692,346,137.0
825341908429098345,153985568,120,135.0
545602057442226577,441617777,107,135.0
47733474,384577529,209,135.0
52976505,428499979,350,134.0
46366481,371891676,331,134.0
37768888,216022722,255,134.0
32906782,116807111,108,133.0
38920975,224777598,76,132.0
19028982,132596381,217,132.0
820334535111222324,153985568,167,130.0
988917,5428204,232,130.0
20486551,139063900,165,129.0
23031619,170513081,349,128.0
53469118,432137725,203,128.0
52978175,428912019,328,128.0
49749559,8001113,303,128.0
548986047801675449,442326369,202,127.0
7045286,4918740,211,125.0
53176382,430194823,204,125.0
963475316399044912,3038197,179,124.0
39753264,305539657,224,124.0
933083341530233229,514049462,345,122.0
25122279,24431378,210,121.0
72436,375625,231,120.0
52981180,428383673,231,119.0
16449540,98330509,192,116.0
801909472414507212,33278356,350,116.0
928941163244537984,3081150,108,116.0
16462603,5878688,216,116.0
37699365,231102415,71,115.0
51201100,414023604,338,114.0
46349248,371891676,323,114.0
29322564,220888840,33,113.0
50064483,8001113,333,113.0
53176052,430226043,220,111.0
785316153152638649,388714704,328,111.0
717032907945200215,479723618,345,111.0
26387235,198421177,75,109.0
669210036391334585,467933645,327,109.0
3144104,6944520,229,109.0
878802065364259765,511843467,262,108.0
641117463719510300,406528119,319,108.0
25364321,170513081,336,107.0
563971,2773231,231,106.0
25542010,23227275,14,105.0
1056455230336828404,398136693,42,105.0
900795016316052652,287672372,144,105.0
621656,3081150,93,104.0
20486557,139063900,203,103.0
32561520,116807111,98,102.0
42127782,333355801,220,102.0
885300346487468625,370567841,306,102.0
909968978800483846,40270145,61,101.0
27643962,201254392,218,100.0
